Time	Day	Name	Location	Address	City	State	Country	Region	Types	Notes
10:00 AM	Sunday	KINGSTON A VISION FOR YOU	LGBT Center	300 Wall Street	NULL	NULL	US	SGU	B = Beginners meeting<br>	Cross street: <br>Notes: Step First & BB Last Sunday<br><br>
10:00 PM	Sunday	NINETY-SIXTH STREET WORKSHOP	Holy Name Church	"207 West 96th Street, Basement, Little Room"	New York	NY	US	M	T = Tradition meeting<br>	"Cross street: (Betw Amsterdam & Broadway)<br>Notes: <br>Anniv. Last Thursday, Fri=Promises, Sat=As Bill Sees It<br>"
10:00 PM	Sunday	SEVENTY-NINTH STREET WORKSHOP	St. Monica's Church	"413 East 79th Street,  Basement"	New York	NY	US	M	C = Closed Discussion meeting<br>	"Cross street: (Betw 1st & York Avenues)<br>Notes: Sun.10am=11th S, Tue.6am=Came To Believe<br>Thu.6am=Step & Trad.<br>"
10:00 PM	Sunday	MIDNITE		"220 West Houston Street, 2nd Floor"	NULL	NULL	US	M	C = Closed Discussion meeting<br>	"Cross street: (Betw 6th Avenue & Varick Street)<br>Notes: Sun.12:30=Meditation, 2am Meetings=Pitch meeting with candlelight.<br>Mon.8pm=Topic, Tues.10pm=T last Tues., Thu.10pm=Problems in Sobriety<br>Sun.8pm=Bus.Meeting last Sun.,Sat.10pm=Anniv.Last"
10:15 AM	Sunday	ORANGEBURGH SOS GROUP	Rockland County Psychiatric Center	"140 Old Orangeburg Road, Rear entrance"	NULL	NULL	US	R	OD = Open Discussion meeting<br>	Cross street: Group meets in the Catholic Chapel library.<br>Notes: <br><br>
10:15 AM	Sunday	LIVING NOW	Theatre 80	"80 St. Mark's Place, 2nd Floor"	New York	NY	US	M	C = Closed Discussion meeting<br>	"Cross street: (Betw. 1st & 2nd Avenues)<br>Notes: Tue.7pm=4th & 5th Step Workshop, **Beginners 3 speaker panel<br>Sat.& Sun.10am Meeting is in the main theatre.<br>"
10:15 AM	Sunday	FIRST THINGS FIRST	Holy Name Church	"207 West 96th Street, Basement, Little Room"	New York	NY	US	M	T = Tradition meeting<br>	Cross street: (Betw. Amsterdam Avenue & Broadway)<br>Notes: Last Sat. of month at 10:15 = anniversary meeting<br><br>
10:30 AM	Sunday	SUNDAY MEN'S TOPIC	West Side YMCA	5 West 63rd Street	New York	NY	US	M	C = Closed Discussion meeting<br>Men	Cross street: (Betw. Central Park West & Broadway)<br>Notes: Men's Meeting<br><br>
10:30 AM	Sunday	WOODSIDE WOMEN'S MEDITATION	St. Sebastian's Parish Center	"39-60 57th Street, Basement, St. Patrick's Room"	NULL	NULL	US	Q	S = Step meeting<br>Women	Cross street: (Betw. Woodside & 39th Avenues)<br>Notes: Women's 11th Step Meditation Meeting<br><br>
10:30 AM	Sunday	THROGGS NECK	Preston High School	"2780 Schurz Avenue, 1st Floor Cafeteria"	Bronx	NY	US	BX	C = Closed Discussion meeting<br>	Cross street: (@ Huntington Avenue)<br>Notes: Sun=Came to Believe<br><br>
10:30 AM	Sunday	RECOVER TO DISCOVER	The Claremont Building	1431 College Avenue	NULL	NULL	US	BX	B = Beginners meeting<br>Living Sober	Cross street: 171st St<br>Notes: Meeting is in the Ground Floor Community Room<br><br>
10:30 AM	Sunday	GRUPO VIDA A LA VIDA	How Club	552 Port Richmond Avenue	NULL	NULL	US	SI	OD = Open Discussion meeting<br>	Cross street: <br>Notes: Spanish Speaking Meetings.<br><br>
10:30 AM	Sunday	GREAT FACT BIG BOOK STUDY GROUP OF BROOKLYN	Our Lady of Lebanon Maronite Cathedral	111 Remsen Street	Brooklyn	NY	US	BK	BB = Big Book meeting<br>	Cross street: between Henry and Clinton Streets<br>Notes: Brooklyn Heights<br><br>
10:30 AM	Sunday	BAGELS AND BIG BOOK		"220 West Houston Street, 2nd Floor"	NULL	NULL	US	M	OD = Open Discussion meeting<br>	"Cross street: (Betw. 6th Avenue & Varick Street)<br>Notes: NOTE: Meeting only meets on the 1st & 3rd Sunday of each month<br>*Big Book Workshop, Meeting ends at Noon.<br>"
10:30 AM	Sunday	NEW PHOENIX		"303 West 42nd Street,  Room #306"	NULL	NULL	US	M	C = Closed Discussion meeting<br>	Cross street: (Betw. 8th & 9th Avenues)<br>Notes: <br><br>
10:30 AM	Sunday	HARDHEADS	Knights Of Columbus Hall	163-16 Pidgeon Meadow Road	Bayside	NY	US	Q	O = Open meeting<br>	Cross street: (@ 164th Street)<br>Notes: <br><br>
10:30 AM	Sunday	MONTCLAIR DOWN TO EARTH	Mountainside Hospital	"Bay & Highland Avenues, Private Dining Room"	Montclair	NJ	US	NJ	OD = Open Discussion meeting<br>Agnostic	Cross street: <br>Notes: No Prayers<br><br>
10:30 AM	Sunday	YONKERS RECOVERY FOR MEN	Yonkers Family YMCA	17 Riverdale Avenue	NULL	NULL	US	W	OD = Open Discussion meeting<br>Men	Cross street: (@ Hudson Street)<br>Notes: Men's Topic Meeting & Rotating Step 1st Sunday of the month.<br><br>
10:30 AM	Sunday	NYACK LIVE AND LET LIVE	Fellowship of Reconciliation	521 North Broadway	Upper Nyack	NY	US	R	"C = Closed Discussion meeting<br>Gay, Lesbian and Bisexual"	Cross street: 1/4 Mile North of Blue Mountain Road<br>Notes: Gay & Lesbian Focus.  All are welcome.<br><br>
10:30 PM	Sunday	FORTY-FIVE SOLUTIONS	46th Street Club House	252 West 46th Street	New York	NY	US	M	C = Closed Discussion meeting<br>	Cross street: (Betw Broadway & 8th Avenue)<br>Notes: <br><br>
10:30 PM	Sunday	PERRY STREET WORKSHOP		"50 Perry Street, Ground Floor"	New York	NY	US	M	C = Closed Discussion meeting<br>	Cross street: (Betw. 7th Avenue South & West 4th Street)<br>Notes: No 8:30 or 10:15 1st Wed of month due to Bus. meeting<br>Wed.10:15pm=No BB 1st Wed.<br>
11:00 AM	Sunday	CONSCIOUS CONTACT	Drumgoole Gymnasium Building	6581 Hylan Blvd.	Staten Island	NY	US	SI	S = Step meeting<br>	"Cross street: (Right turn @ Cunningham Road, Past guard-house on the left)<br>Notes: Alternates weekly between the 3rd & 11th Step.<br><br>"
11:00 AM	Sunday	WELCOME TO THE 11:00AM MEETING	Forest Hills Volunteer Ambulance Corps	92-29 Metropolitan Avenue	NULL	NULL	US	Q	C = Closed Discussion meeting<br>	Cross street: (Enter thru rear-side entrance.)<br>Notes: <br><br>
11:00 AM	Sunday	TRIANGLE GROUP	Tribeca 12 Building	283 West Broadway	NULL	NULL	US	M	C = Closed Discussion meeting<br>Meditation	"Cross street: Canal and Lispendard Sts.<br>Notes: Walk thru green doors; first floor, rear.<br>Addtl meditation meeting on Sunday at 11:15 if room full<br>"
11:00 AM	Sunday	THE 12th STREET WORKSHOP		"411 East 12th Street, Basement"	NULL	NULL	US	M	BB = Big Book meeting<br>	"Cross street: (Betw 1st Avenue & Avenue A)<br>Notes: Sun.4:30=Business Mtg Only 1st & Anniv Last Sunday<br>Sun.7:30pm,Tue.5:30,Wed.8:30pm & Sat.10:30am=11th Step Meditation<br>Mon.5:30=Gratitude & Sat.7:30am=AA Grapevine"
11:00 AM	Sunday	PARK SLOPE CATON	St. Patrick's Church	9511 Fourth Avenue	NULL	NULL	US	BK	S = Step meeting<br>	Cross street: <br>Notes: 11th Step<br><br>
11:00 AM	Sunday	PROMISES TWO FOR ONE	Upper Manhattan Mental Health Center	"1727 Amsterdam Avenue, 1st Floor in the rear."	New York	NY	US	M	C = Closed Discussion meeting<br>	Cross street: (@ 145th Street)<br>Notes: 1st Sun-OD; 2nd Sun-S; 3rd Sun-Topic; 4th Sun-T; 5th Sun-OD<br><br>
